,Country,Reactor Code,Reactor Name,Type,Model,Capacity (MW)-Thermal,Capacity (MW)-Gross,Capacity (MW)-Net,Operator,"NSSS
supplier","Construction
start","Grid
connection","Commercial
operation",EAF %,UCF %,Non-,Coordinates,Latitude,Longitude
10,USA,US -331,DUANE ARNOLD-1,BWR,BWR-4 (Mark 1),1912,624,601,NEXTERA,GE,1970-6,1974-5,1975-2,93.86916139,93.86916139,-,42.10056°N 91.77722°W,42°6′2″N,91°46′38″W
11,USA,US -348,FARLEY-1,PWR,WH 3LP (DRYAMB,2775,918,874,SOUTHERN,WH,1970-10,1977-8,1977-12,92.33065167,92.33065167,-,31.22306°N 85.11167°W,31°13′23″N,85°6′42″W
12,USA,US -364,FARLEY-2,PWR,WH 3LP (DRYAMB,2775,928,883,SOUTHERN,WH,1970-10,1981-5,1981-7,93.11262538,93.11262538,-,31.22306°N 85.11167°W,31°13′23″N,85°6′42″W
13,USA,US -333,FITZPATRICK,BWR,BWR-4 (Mark 1),2536,849,813,EXELON,GE,1968-9,1975-2,1975-7,93.37444281,93.57098983,-,43.5233°N 76.3983°W,43°31.4′N,76°23.9′W
14,USA,US -244,GINNA,PWR,WH 2LP (DRYAMB,1775,608,560,EXELON,WH,1966-4,1969-12,1970-7,95.15622417,95.20777167,-,43.27778°N 77.31000°W,43°16′40″N,77°18′36″W
15,USA,US -400,HARRIS-1,PWR,WH 3LP (DRYAMB,2900,980,964,PROGRESS,WH,1978-1,1987-1,1987-5,91.43834893,91.43834893,-,35.6333°N 78.9550°W,35°38.0′N,78°57.3′W
16,USA,US -321,HATCH-1,BWR,BWR-4 (Mark 1),2804,911,876,SOUTHERN,GE,1968-9,1974-11,1975-12,93.81160696,93.81160696,-,31.93417°N 82.34389°W,31°56′3″N,82°20′38″W
17,USA,US -366,HATCH-2,BWR,BWR-4 (Mark 1),2804,921,883,SOUTHERN,GE,1972-2,1978-9,1979-9,93.32522987,93.32522987,-,31.93417°N 82.34389°W,31°56′3″N,82°20′38″W
18,USA,US -263,MONTICELLO,BWR,BWR-3 (Mark 1),2004,691,628,NSP,GE,1967-6,1971-3,1971-6,89.04837575,89.04837575,-,45.33361°N 93.84917°W,45°20′1″N,93°50′57″W
19,USA,US -255,PALISADES,PWR,CE 2LP (DRYAMB,2565,850,805,ENTERGY,CE,1967-3,1971-12,1971-12,89.14771399,89.14771399,-,42.32278°N 86.31444°W,42°19′22″N,86°18′52″W
20,USA,US -458,RIVER BEND-1,BWR,BWR-6 (Mark 3),3091,1016,967,ENTERGY,GE,1977-3,1985-12,1986-6,90.10293973,90.10293973,-,30.7567°N 91.333°W,30°45.4′N,91°20′W
21,USA,US -261,ROBINSON-2,PWR,WH 3LP (DRYAMB,2339,780,741,PROGRESS,WH,1967-4,1970-9,1971-3,85.71278606,85.77758266,-,34.40278°N 80.15833°W,34°24′10″N,80°9′30″W
22,USA,US -335,ST. LUCIE-1,PWR,CE 2LP (DRYAMB,3020,1045,981,FPL,CE,1970-7,1976-5,1976-12,84.79825901,84.83460036,-,27.34861°N 80.24639°W,27°20′55″N,80°14′47″W
23,USA,US -389,ST. LUCIE-2,PWR,CE 2LP (DRYAMB,3020,1050,987,FPL,CE,1977-6,1983-6,1983-8,87.57860840000001,87.87408239,-,27.34861°N 80.24639°W,27°20′55″N,80°14′47″W
24,USA,US -395,SUMMER-1,PWR,WH 3LP (DRYAMB,2900,1006,973,SCE&G,WH,1973-3,1982-11,1984-1,89.51222202,89.51222202,-,34.29861°N 81.31472°W,34°17′55″N,81°18′53″W
