,Country,Reactor Code,Reactor Name,Type,Model,Capacity (MW)-Thermal,Capacity (MW)-Gross,Capacity (MW)-Net,Operator,"NSSS
supplier","Construction
start","Grid
connection","Commercial
operation",EAF %,UCF %,Non-,Latitude, Longitude
376,PAKISTAN,PK -5,CHASNUPP-4,PWR,CNP-300,999,340,313,PAEC,CNNC,2011-12,2017-7,2017-9,89.36883954,90.19892422,-,32.39028,71.4625
377,PAKISTAN,PK -1,KANUPP-1,PHWR,CANDU-137 MW,337,100,90,PAEC,CGE,1966-8,1971-10,1972-12,41.11680187,41.11680187,DS,24.847167,66.78825
378,RUSSIA,RU -151,AKADEMIK LOMONOSOV-1,PWR,KLT-40S Float,150,35,32,REA,AEM,2007-4,2019-12,2020-5,0,0,-,69.7,170.316667
379,RUSSIA,RU -152,AKADEMIK LOMONOSOV-2,PWR,KLT-40S Float,150,35,32,REA,AEM,2007-4,2019-12,2020-5,0,0,-,69.7,170.316667
380,RUSSIA,RU -142,BILIBINO-2,LWGR,EGP-6,62,12,11,REA,AEM,1970-1,1974-12,1975-2,82.07986906,82.07986906,DH,68.05028,166.53861
381,RUSSIA,RU -143,BILIBINO-3,LWGR,EGP-6,62,12,11,REA,AEM,1970-1,1975-12,1976-2,83.64491022,83.64491022,DH,68.05028,166.53861
382,RUSSIA,RU -144,BILIBINO-4,LWGR,EGP-6,62,12,11,REA,AEM,1970-1,1976-12,1977-1,83.0300541,83.0300541,DH,68.05028,166.53861
383,RUSSIA,RU -163,LENINGRAD 2-1,PWR,VVER V-491,3200,1188,1101,REA,AEM,2008-10,2018-3,2018-10,67.19769968,67.69026635,-,59.84722,29.04361
384,RUSSIA,RU -161,NOVOVORONEZH 2-1,PWR,VVER V-392M,3200,1180,1100,REA,AEM,2008-6,2016-8,2017-2,74.09877438,76.1390338,-,51.275,39.2
385,RUSSIA,RU -162,NOVOVORONEZH 2-2,PWR,VVER V-392M,3200,1181,1101,REA,AEM,2009-7,2019-5,2019-10,85.48202578,85.48202578,-,51.275,39.2
386,RUSSIA,RU -11,NOVOVORONEZH-4,PWR,VVER V-179,1375,417,385,REA,AEM,1967-7,1972-12,1973-3,77.83210647,78.7573867,"DH, PH",51.275,39.2
387,RUSSIA,RU -20,NOVOVORONEZH-5,PWR,VVER V-187,3000,1000,950,REA,AEM,1974-3,1980-5,1981-2,73.56720068,74.1062216,"DH, PH",51.275,39.2
388,SLOVAKIA,SK -13,BOHUNICE-3,PWR,VVER V-213,1471,505,471,SE,SKODA,1976-12,1984-8,1985-2,88.0278887,91.45789004,"DH, PH",48.49444,17.68194
389,SLOVAKIA,SK -14,BOHUNICE-4,PWR,VVER V-213,1471,505,471,SE,SKODA,1976-12,1985-8,1985-12,88.19940522,91.15223987,"DH, PH",48.49444,17.68194
390,SLOVAKIA,SK -6,MOCHOVCE-1,PWR,VVER V-213,1471,470,436,SE,SKODA,1983-10,1998-7,1998-10,91.3457416,92.03302733,-,48.26389,18.45694
391,SLOVAKIA,SK -7,MOCHOVCE-2,PWR,VVER V-213,1471,470,436,SE,SKODA,1983-10,1999-12,2000-4,90.11720098,91.17366306,-,48.26389,18.45694
392,SLOVENIA,SI -1,KRSKO,PWR,WH 2LP,1994,727,688,NEK,WH,1975-3,1981-10,1983-1,91.5599939,91.93004195,-,45.938333,15.515556
393,SWITZERLAND,CH -1,BEZNAU-1,PWR,WH 2LP,1130,380,365,Axpo AG,WH,1965-9,1969-7,1969-12,63.9010244,64.08717373,DH,47.552107,8.228492
394,SWITZERLAND,CH -3,BEZNAU-2,PWR,WH 2LP,1130,380,365,Axpo AG,WH,1968-1,1971-10,1972-3,87.85398131,88.3069826,DH,47.552107,8.228492
395,UK,GB -18A,DUNGENESS B-1,GCR,AGR,1500,615,545,EDF UK,APC,1965-10,1983-4,1985-4,46.87762248,46.90699545,-,50.913889,0.963889
396,UK,GB -18B,DUNGENESS B-2,GCR,AGR,1500,615,545,EDF UK,APC,1965-10,1985-12,1989-4,50.06459323,50.23603866,-,50.913889,0.963889
397,UK,GB -19A,HARTLEPOOL A-1,GCR,AGR,1500,655,590,EDF UK,NPC,1968-10,1983-8,1989-4,72.00695269,72.14718289,-,54.635,1.18083
398,UK,GB -19B,HARTLEPOOL A-2,GCR,AGR,1500,655,595,EDF UK,NPC,1968-10,1984-10,1989-4,72.88692177,72.96774608,-,54.635,1.18083
399,UK,GB -20A,HEYSHAM A-1,GCR,AGR,1500,625,485,EDF UK,NPC,1970-12,1983-7,1989-4,63.58731761,63.69018602,-,54.02889,2.91611
400,UK,GB -20B,HEYSHAM A-2,GCR,AGR,1500,625,575,EDF UK,NPC,1970-12,1984-10,1989-4,65.24700767,65.30967909,-,54.02889,2.91611
401,UK,GB -22A,HEYSHAM B-1,GCR,AGR,1550,680,620,EDF UK,NPC,1980-8,1988-7,1989-4,86.02320653,86.22316187,-,54.02889,2.91611
402,UK,GB -22B,HEYSHAM B-2,GCR,AGR,1550,680,620,EDF UK,NPC,1980-8,1988-11,1989-4,83.58201482,83.65810297,-,54.02889,2.91611
403,UK,GB -16A,HINKLEY POINT B-1,GCR,AGR,1494,655,485,EDF UK,TNPG,1967-9,1976-10,1978-10,84.44356897,84.54011499,-,51.209034,3.127477
404,UK,GB -16B,HINKLEY POINT B-2,GCR,AGR,1494,655,480,EDF UK,TNPG,1967-9,1976-2,1976-9,86.18589425,86.28927243,-,51.209034,3.127477
405,UK,GB -17A,HUNTERSTON B-1,GCR,AGR,1496,644,490,EDF UK,TNPG,1967-11,1976-2,1976-2,70.54650113,70.7514084,-,55.72209,4.89009
406,UK,GB -17B,HUNTERSTON B-2,GCR,AGR,1496,644,495,EDF UK,TNPG,1967-11,1977-3,1977-3,77.27203345,77.40077204,-,55.72209,4.89009
407,UK,GB -24,SIZEWELL B,PWR,SNUPPS,3425,1250,1198,EDF UK,PPC,1988-7,1995-2,1995-9,82.00299175,82.05511933,-,52.215,1.61972
408,UKRAINE,UA -40,KHMELNITSKI-1,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1981-11,1987-12,1988-8,68.63801978,70.41652495,DH,50.3014056,26.64975
409,UKRAINE,UA -41,KHMELNITSKI-2,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1985-2,2004-8,2005-12,80.10069945,81.48072193,DH,50.3014056,26.64975
410,UKRAINE,UA -27,ROVNO-1,PWR,VVER V-213,1375,420,381,NNEGC,PAIP,1973-8,1980-12,1981-9,83.93722228,84.54607921,DH,51.32778,25.89167
411,UKRAINE,UA -28,ROVNO-2,PWR,VVER V-213,1375,415,376,NNEGC,PAIP,1973-10,1981-12,1982-7,80.23132181,80.74385307,DH,51.32778,25.89167
412,UKRAINE,UA -29,ROVNO-3,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1980-2,1986-12,1987-5,67.63852059,69.49357718,DH,51.32778,25.89167
413,UKRAINE,UA -69,ROVNO-4,PWR,VVER V-320,3000,1000,950,NNEGC,PAA,1986-8,2004-10,2006-4,80.69313018,82.56263331,DH,51.32778,25.89167
414,UKRAINE,UA -54,ZAPOROZHYE-1,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1980-4,1984-12,1985-12,69.84486751,71.82936171,DH,47.51222,34.58583
415,UKRAINE,UA -56,ZAPOROZHYE-2,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1981-1,1985-7,1986-2,68.41518827,72.9868325,DH,47.51222,34.58583
416,UKRAINE,UA -78,ZAPOROZHYE-3,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1982-4,1986-12,1987-3,74.02248562,76.42795937,DH,47.51222,34.58583
417,UKRAINE,UA -79,ZAPOROZHYE-4,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1983-4,1987-12,1988-4,73.23654066,75.13930723,DH,47.51222,34.58583
418,UKRAINE,UA -126,ZAPOROZHYE-5,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1985-11,1989-8,1989-10,77.32340898,80.16875324,DH,47.51222,34.58583
419,UKRAINE,UA -127,ZAPOROZHYE-6,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1986-6,1995-10,1996-9,80.51737572,82.83817087,DH,47.51222,34.58583
420,USA,US -315,COOK-1,PWR,WH 4LP (ICECDN,3304,1131,1030,AEP,WH,1969-3,1975-2,1975-8,88.92551013,88.92551013,-,41.97556,86.56528
421,USA,US -316,COOK-2,PWR,WH 4LP (ICECDN,3468,1231,1168,AEP,WH,1969-3,1978-3,1978-7,88.81753872,88.81753872,-,41.97556,86.56528
422,USA,US -298,COOPER,BWR,BWR-4 (Mark 1),2419,801,769,ENTERGY,GE,1968-6,1974-5,1974-7,92.96252557,92.96252557,-,40.36194,95.64139
423,USA,US -346,DAVIS BESSE-1,PWR,B&W RLP (DRYAM,2817,925,894,FENOC,B&W,1970-9,1977-8,1978-7,88.14333617,88.14333617,-,41.596667,-83.086389
424,USA,US -331,DUANE ARNOLD-1,BWR,BWR-4 (Mark 1),1912,624,601,NEXTERA,GE,1970-6,1974-5,1975-2,93.86916139,93.86916139,-,42.10056,91.77722
425,USA,US -348,FARLEY-1,PWR,WH 3LP (DRYAMB,2775,918,874,SOUTHERN,WH,1970-10,1977-8,1977-12,92.33065167,92.33065167,-,31.22306,85.11167
426,USA,US -364,FARLEY-2,PWR,WH 3LP (DRYAMB,2775,928,883,SOUTHERN,WH,1970-10,1981-5,1981-7,93.11262538,93.11262538,-,31.22306,85.11167
427,USA,US -333,FITZPATRICK,BWR,BWR-4 (Mark 1),2536,849,813,EXELON,GE,1968-9,1975-2,1975-7,93.37444281,93.57098983,-,43.5233,76.3983
428,USA,US -244,GINNA,PWR,WH 2LP (DRYAMB,1775,608,560,EXELON,WH,1966-4,1969-12,1970-7,95.15622417,95.20777167,-,43.27778,77.31
429,USA,US -400,HARRIS-1,PWR,WH 3LP (DRYAMB,2900,980,964,PROGRESS,WH,1978-1,1987-1,1987-5,91.43834893,91.43834893,-,35.6333,78.955
430,USA,US -321,HATCH-1,BWR,BWR-4 (Mark 1),2804,911,876,SOUTHERN,GE,1968-9,1974-11,1975-12,93.81160696,93.81160696,-,31.93417,82.34389
431,USA,US -366,HATCH-2,BWR,BWR-4 (Mark 1),2804,921,883,SOUTHERN,GE,1972-2,1978-9,1979-9,93.32522987,93.32522987,-,31.93417,82.34389
432,USA,US -263,MONTICELLO,BWR,BWR-3 (Mark 1),2004,691,628,NSP,GE,1967-6,1971-3,1971-6,89.04837575,89.04837575,-,45.33361,93.84917
433,USA,US -255,PALISADES,PWR,CE 2LP (DRYAMB,2565,850,805,ENTERGY,CE,1967-3,1971-12,1971-12,89.14771399,89.14771399,-,42.32278,86.31444
434,USA,US -458,RIVER BEND-1,BWR,BWR-6 (Mark 3),3091,1016,967,ENTERGY,GE,1977-3,1985-12,1986-6,90.10293973,90.10293973,-,30.7567,91.333
435,USA,US -261,ROBINSON-2,PWR,WH 3LP (DRYAMB,2339,780,741,PROGRESS,WH,1967-4,1970-9,1971-3,85.71278606,85.77758266,-,34.40278,80.15833
436,USA,US -335,ST. LUCIE-1,PWR,CE 2LP (DRYAMB,3020,1045,981,FPL,CE,1970-7,1976-5,1976-12,84.79825901,84.83460036,-,27.34861,80.24639
437,USA,US -389,ST. LUCIE-2,PWR,CE 2LP (DRYAMB,3020,1050,987,FPL,CE,1977-6,1983-6,1983-8,87.5786084,87.87408239,-,27.34861,80.24639
438,USA,US -395,SUMMER-1,PWR,WH 3LP (DRYAMB,2900,1006,973,SCE&G,WH,1973-3,1982-11,1984-1,89.51222202,89.51222202,-,34.29861,81.31472
